,kaywords,weight
69,"dict_keys(['riseup', 'summit', 'cofound', 'auc', 'campu', 'riseup summit', 'cairo', 'advertis', 'capit', 'auc new cairo'])","dict_values([0.28, 0.205, 0.168, 0.15, 0.134, 0.117, 0.117, 0.105, 0.101, 0.101])"
70,"dict_keys(['edf', 'renew', 'solar', 'edf renew', 'karmsolar', 'renew energi', 'industri client', 'power', 'plant', 'energi'])","dict_values([0.444, 0.442, 0.324, 0.323, 0.281, 0.153, 0.121, 0.121, 0.109, 0.105])"
71,"dict_keys(['isdb', 'transform roadshow', 'scienc technolog innov', 'roadshow', 'transform', 'sustain', 'scienc technolog', 'sustain develop', 'transform fund', 'support'])","dict_values([0.373, 0.238, 0.213, 0.213, 0.208, 0.206, 0.164, 0.159, 0.149, 0.144])"
72,"dict_keys(['pyramid', 'pitch', 'pitch pyramid', 'riseup', 'startup', 'event', 'amman', 'qualifi', 'earli stage startup', 'finalist'])","dict_values([0.311, 0.243, 0.206, 0.15, 0.141, 0.136, 0.133, 0.108, 0.107, 0.101])"
73,"dict_keys(['misk', 'batch', 'intak', 'startup misk', 'misk innov', 'across region', 'young peopl', 'much', 'program', 'saudi'])","dict_values([0.385, 0.22, 0.178, 0.17, 0.158, 0.139, 0.136, 0.12, 0.11, 0.109])"
74,"dict_keys(['intouch', 'retail', 'store', 'retail food', 'person platform', 'intouch technolog', 'ireland', 'custom', 'compani', 'invest'])","dict_values([0.488, 0.322, 0.183, 0.113, 0.113, 0.113, 0.106, 0.104, 0.104, 0.101])"
75,"dict_keys(['travel', 'tripdiz', 'book', 'trip', 'travel book', 'region', 'grow', 'onlin', 'mena', 'mena region'])","dict_values([0.624, 0.412, 0.225, 0.184, 0.116, 0.113, 0.111, 0.096, 0.089, 0.083])"
76,"dict_keys(['yodawi', 'pharmaci', 'insur', 'pharmaci benefit', 'cventur', 'insur compani', 'patient', 'karim', 'algebra', 'digit'])","dict_values([0.474, 0.312, 0.255, 0.168, 0.168, 0.135, 0.132, 0.121, 0.113, 0.104])"
77,"dict_keys(['riseup', 'summit', 'riseup summit', 'track', 'creativ', 'journey growth', 'growth', 'journey', 'station', 'startup'])","dict_values([0.364, 0.305, 0.26, 0.253, 0.239, 0.209, 0.16, 0.128, 0.112, 0.097])"
78,"dict_keys(['african', 'program', 'prize', 'pitch deck', 'octob th', 'deck', 'anzisha', 'medhat', 'entrepreneur', 'join program'])","dict_values([0.229, 0.2, 0.191, 0.185, 0.185, 0.185, 0.185, 0.176, 0.144, 0.144])"
79,"dict_keys(['du cair', 'du', 'cair', 'banqu du cair', 'banqu du', 'banqu', 'angel', 'partnership banqu du', 'partnership banqu', 'bank'])","dict_values([0.349, 0.349, 0.349, 0.349, 0.349, 0.327, 0.126, 0.116, 0.116, 0.096])"
80,"dict_keys(['african', 'app launchpad', 'launchpad', 'launchpad cup', 'app launchpad cup', 'african app launchpad', 'african app', 'riseup', 'africa', 'itida'])","dict_values([0.261, 0.242, 0.205, 0.201, 0.201, 0.193, 0.193, 0.19, 0.176, 0.175])"
81,"dict_keys(['fintech', 'fintech startup', 'industri', 'fintech industri', 'report', 'ytd', 'sub industri', 'deal', 'sub', 'mena'])","dict_values([0.565, 0.21, 0.205, 0.155, 0.147, 0.144, 0.144, 0.141, 0.129, 0.125])"
82,"dict_keys(['summit', 'conscioustech', 'vest summit', 'vest', 'solv real world', 'real world problem', 'world', 'world problem', 'solv real', 'real world'])","dict_values([0.291, 0.231, 0.217, 0.207, 0.163, 0.163, 0.16, 0.149, 0.137, 0.137])"
83,"dict_keys(['tutor', 'orca', 'parent', 'languag', 'live', 'abroad', 'orca tutor', 'onlin tutor', 'live abroad', 'onlin'])","dict_values([0.56, 0.508, 0.209, 0.195, 0.147, 0.135, 0.125, 0.125, 0.125, 0.097])"
84,"dict_keys(['workshop', 'ecosystem', 'countri', 'workshop held', 'two day workshop', 'day workshop', 'itu', 'held', 'aspect', 'two day'])","dict_values([0.28, 0.208, 0.195, 0.184, 0.184, 0.169, 0.155, 0.135, 0.135, 0.131])"
85,"dict_keys(['compani', 'misk', 'tutor', 'marketplac', 'misk innov', 'platform', 'focus', 'mena', 'store', 'innov'])","dict_values([0.185, 0.163, 0.135, 0.128, 0.126, 0.117, 0.113, 0.109, 0.105, 0.103])"
86,"dict_keys(['starterhub', 'riseup', 'riseup connect', 'resourc', 'connect', 'commun', 'relev resourc', 'relev', 'resourc event', 'riseup commun'])","dict_values([0.391, 0.331, 0.245, 0.221, 0.185, 0.177, 0.154, 0.118, 0.117, 0.11])"
