,kaywords,weight
66,"dict_keys(['مدكل', 'طبب سنن', 'طبب', 'جور لءلكترن', 'جور', 'طبي', 'سوط', 'لءلكترن', 'صلح', 'سنن'])","dict_values([0.342, 0.214, 0.209, 0.2, 0.187, 0.158, 0.15, 0.15, 0.128, 0.125])"
67,"dict_keys(['جور لءلكترن', 'جور', 'لءلكترن', 'لوم', 'شحح', 'طرد', 'مجل جور لءلكترن', 'مجل جور', 'نسب', 'حجم'])","dict_values([0.333, 0.296, 0.249, 0.207, 0.2, 0.139, 0.129, 0.129, 0.123, 0.122])"
68,"dict_keys(['هتف', 'هتف حمل', 'لءلكترن', 'عرر', 'حمل', 'مصر ودل خلج', 'مصر ودل', 'ججل', 'ودل خلج', 'قطع جور لءلكترن'])","dict_values([0.369, 0.2, 0.188, 0.162, 0.14, 0.134, 0.134, 0.133, 0.128, 0.128])"
69,"dict_keys(['مسس', 'مسس بتكر', 'مسس خير', 'خير', 'دفع', 'بتكر', 'علم', 'ءسس', 'ثمر', 'شبب'])","dict_values([0.351, 0.201, 0.173, 0.164, 0.141, 0.139, 0.134, 0.127, 0.121, 0.112])"
70,"dict_keys(['مجد', 'هرب', 'شرك مجد', 'حصل شرك', 'ركز ثلث', 'وتر', 'دقءق', 'كبر', 'روز', 'ركز'])","dict_values([0.486, 0.188, 0.188, 0.146, 0.143, 0.141, 0.133, 0.122, 0.119, 0.115])"
71,"dict_keys(['روز', 'نتربرزس', 'شرك جمن نتربرزس', 'جمن نتربرزس', 'شرك جمن', 'جمن', 'نتربرزس رقو', 'جمن نتربرزس رقو', 'هرم', 'رسكم'])","dict_values([0.28, 0.235, 0.235, 0.235, 0.221, 0.221, 0.188, 0.188, 0.186, 0.162])"
72,"dict_keys(['دبي', 'دبي كسب', 'حضر دبي كسب', 'حضر دبي', 'روز', 'حدث نهء', 'شرر ءسس', 'شرر', 'سبق', 'قيم'])","dict_values([0.191, 0.159, 0.159, 0.159, 0.158, 0.143, 0.131, 0.123, 0.122, 0.115])"
73,"dict_keys(['برص', 'رحل', 'ريو', 'وري', 'نم', 'دجتل', 'وضع', 'حدث', 'قمم روز', 'جهد'])","dict_values([0.295, 0.166, 0.125, 0.125, 0.118, 0.115, 0.107, 0.103, 0.101, 0.1])"
74,"dict_keys(['نوخ عمل', 'نوخ', 'مطر', 'نوخ عمل نطق', 'نطق', 'حدث', 'قطع غور', 'غور', 'عمل نطق', 'كنلج'])","dict_values([0.194, 0.18, 0.152, 0.13, 0.121, 0.109, 0.108, 0.108, 0.107, 0.105])"
75,"dict_keys(['روز', 'قمم روز', 'جمع مرك', 'جمع مرك قهر', 'مرك قهر', 'لقم', 'قهر', 'رءس', 'قمم', 'رءس جمع مرك'])","dict_values([0.285, 0.181, 0.174, 0.161, 0.16, 0.146, 0.137, 0.131, 0.131, 0.13])"
76,"dict_keys(['حور', 'روز', 'قمم روز', 'قمم', 'لقم', 'عوم', 'حدث', 'ضوف', 'جدد لقم', 'نشء'])","dict_values([0.224, 0.19, 0.185, 0.16, 0.153, 0.147, 0.117, 0.102, 0.1, 0.097])"
77,"dict_keys(['طوق', 'شمس', 'طوق شمس', 'كرم طوق شمس', 'كرم طوق', 'شرك كرم طوق', 'شرك كرم', 'كرم', 'طوق جدد', 'رتج'])","dict_values([0.376, 0.37, 0.366, 0.29, 0.29, 0.29, 0.276, 0.189, 0.157, 0.103])"
